party,per_14,per_19
SPAKP,0.15%,0.00%
TRIPP,0.15%,0.00%
RSTSAHP,0.15%,0.00%
PPID,0.15%,0.00%
RAPty,0.15%,0.00%
RPI(KH),0.15%,0.18%
RADM,0.15%,0.00%
SATKP,0.15%,0.00%
PMSP,0.15%,0.25%
PDS,0.15%,0.21%
JRVP,0.15%,0.00%
UKKD,0.15%,0.00%
BNSKP,0.15%,0.00%
NDPOI,0.15%,0.00%
LOGAP,0.15%,0.00%
RASHLSP,0.14%,0.00%
KSRP,0.14%,0.00%
HND,0.14%,0.09%
RSPS,0.14%,5.73%
SNP,0.14%,0.00%
ANRP,0.14%,0.00%
FPI,0.14%,0.00%
PRCP,0.14%,0.10%
YVP,0.14%,0.00%
AINHCP,0.14%,0.00%
UTSAP,0.14%,0.00%
SUTF,0.14%,0.00%
ATBP,0.14%,0.07%
JANKRPR,0.14%,0.00%
BSSPA,0.14%,0.00%
ABML(S),0.14%,0.69%
JPJD,0.14%,0.35%
ANC,0.14%,0.12%
SaSaP,0.14%,0.30%
LCD,0.14%,0.00%
BHBHP,0.14%,0.00%
AIUUK,0.14%,0.00%
PUDEP,0.14%,0.00%
RKSP,0.14%,0.32%
SUSP,0.14%,0.00%
NIRBHP,0.14%,0.00%
MAHKRS,0.14%,0.00%
AJPI,0.13%,0.00%
SABHP,0.13%,0.00%
MDPF,0.13%,0.23%
MHD,0.13%,0.17%
RJsbhP,0.13%,0.00%
IRNP,0.13%,0.00%
BTARP,0.13%,0.00%
SSBD,0.13%,0.00%
RJANSWP,0.13%,0.00%
ALoP,0.13%,0.00%
NJANP,0.13%,0.00%
KPPU,0.13%,0.00%
TNRMPI,0.13%,0.00%
SaVP,0.13%,0.04%
UPNSE,0.12%,0.00%
ETMK,0.12%,0.21%
PNP,0.12%,0.00%
BAHUMP,0.12%,0.00%
ARP,0.12%,0.25%
SAKSP,0.12%,0.00%
KKJHS,0.12%,0.00%
PSS,0.12%,0.24%
JSVP,0.12%,0.00%
MwSP,0.12%,0.14%
PECP,0.12%,0.59%
AIDMMK,0.12%,0.00%
IICR,0.12%,0.00%
LOKJANP,0.12%,0.00%
RPI(A),0.12%,0.28%
IUC,0.12%,0.30%
SDU,0.12%,0.00%
MPP,0.12%,0.00%
MPOI,0.12%,0.00%
JAC,0.12%,0.00%
PBI,0.12%,0.15%
DUUK,0.12%,0.00%
SWSP,0.12%,0.26%
RBS,0.11%,0.07%
BHTJP,0.11%,0.00%
KCVP,0.11%,0.04%
ABHP,0.11%,0.00%
PSJP,0.11%,0.03%
BSKRP,0.11%,0.00%
BaSaPa,0.11%,0.00%
RPI,0.11%,0.37%
NSCBRAP,0.11%,0.00%
NRCong,0.11%,0.00%
SJSMP,0.11%,0.00%
RSP(S),0.11%,0.00%
TECPI,0.11%,0.12%
AgIMK,0.11%,0.00%
SWJP,0.11%,0.33%
KMSP,0.11%,0.00%
RABSP,0.11%,0.00%
ANIJP,0.11%,0.00%
JAJGP,0.11%,0.00%
